#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,3000.0,0.7915,0.6508,0.6539,0.6513,0.6685,0.6661,0.655,0.6701,0.7282,0.7394,0.6519,0.6421,0.7286,0.6501,0.6924,0.6521,0.6518,0.7485,0.6675,0.7225,0.6691,0.6511
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,38000.0,0.5784,0.5328,0.5341,0.5325,0.5387,0.5389,0.5354,0.5324,0.5434,0.5442,0.6141,0.4929,0.5523,0.5327,0.5557,0.5327,0.5323,0.5554,0.6207,0.5564,0.5534,0.5329
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,150000.0,0.7415,0.7023,0.7076,0.6989,0.7159,0.7193,0.7065,0.7297,0.7307,0.7206,0.735,0.5933,0.7267,0.6965,0.721,0.7042,0.7017,0.7306,0.8027,0.7265,0.7362,0.7025
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,42000.0,0.7051,0.6566,0.6594,0.6561,0.666,0.6596,0.6581,0.6551,0.6686,0.6675,0.7058,0.6152,0.6739,0.6579,0.6785,0.6553,0.6548,0.677,0.7351,0.6827,0.6629,0.6554
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,15000.0,0.846,0.8103,0.8091,0.8105,0.8211,0.8192,0.811,0.8145,0.8256,0.8245,0.81,0.7741,0.8276,0.8112,0.8266,0.8107,0.8103,0.8296,0.8384,0.822,0.8149,0.8089
fiu_casa-110108-112108.oracleGeneral.zst_8973201,31000.0,0.2555,0.2213,0.2213,0.2207,0.2373,0.2408,0.2311,0.2357,0.2439,0.2302,0.3354,0.19,0.2342,0.2226,0.2388,0.2221,0.2212,0.2363,0.4151,0.253,0.2534,0.2225
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,13000.0,0.8067,0.7525,0.7456,0.7523,0.773,0.7623,0.7557,0.7524,0.7722,0.7699,0.7472,0.7246,0.7711,0.7511,0.7756,0.753,0.7529,0.7742,0.7586,0.7701,0.7575,0.7507
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,582000000.0,0.5619,0.4806,0.475,0.4774,0.4906,0.5899,0.5024,0.5195,0.5444,0.5183,0.6615,0.28,0.5217,0.4741,0.573,0.4944,0.4947,0.5261,0.7261,0.6319,0.5326,0.4998
fiu_madmax-110108-112108.oracleGeneral.zst_918010,6000.0,0.8765,0.8505,0.849,0.8503,0.8637,0.8558,0.8532,0.8462,0.8572,0.8586,0.8622,0.826,0.8588,0.8459,0.8554,0.8517,0.8497,0.8597,0.8599,0.8588,0.8534,0.8454
fiu_homes-110108-112108.oracleGeneral.zst_17836701,363000.0,0.4925,0.468,0.4699,0.467,0.4795,0.4891,0.4828,0.49,0.489,0.4745,0.5227,0.3905,0.4793,0.4666,0.4837,0.472,0.4692,0.4824,0.6037,0.4926,0.5128,0.4704
