#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
msr_hm_0.oracleGeneral.zst,1317,0.4483,0.3969,0.449,0.4553,0.4788,0.4996,0.4796,0.4632,0.4855,0.4797,0.5423,0.4676,0.452,0.4835,0.4747,0.4497,0.4505,0.4581,0.4543,0.4603,0.4496
msr_src1_1.oracleGeneral.zst,18511,0.9519,0.8751,0.9516,0.963,0.9564,0.956,0.9585,0.9561,0.9692,0.9565,0.9689,0.9515,0.975,0.9564,0.955,0.9661,0.9699,0.9683,0.9687,0.9725,0.9668
msr_proj_2.oracleGeneral.zst,48540,0.9578,0.9053,0.9573,0.9589,0.9707,0.9742,0.9683,0.9671,0.9694,0.9717,0.9731,0.9647,0.9564,0.9737,0.9653,0.9551,0.9597,0.9712,0.965,0.9782,0.955
msr_src1_0.oracleGeneral.zst,16978,0.9729,0.9294,0.9725,0.974,0.9781,0.9785,0.9808,0.9781,0.9831,0.979,0.9834,0.9777,0.984,0.9783,0.9782,0.9809,0.9818,0.9835,0.9812,0.9861,0.981
msr_proj_1.oracleGeneral.zst,46356,0.9025,0.8518,0.9017,0.9028,0.9107,0.9137,0.9112,0.907,0.9166,0.9099,0.9361,0.9077,0.9322,0.913,0.9084,0.902,0.8997,0.9244,0.9022,0.9375,0.901
msr_prn_1.oracleGeneral.zst,6520,0.7515,0.659,0.7503,0.7496,0.7538,0.7588,0.76,0.7444,0.7723,0.7531,0.9113,0.7525,0.8054,0.7545,0.7507,0.7655,0.7587,0.77,0.748,0.8037,0.7633
msr_proj_4.oracleGeneral.zst,9007,0.9763,0.941,0.9765,0.9767,0.985,0.9853,0.9855,0.9847,0.9844,0.9849,0.9798,0.9851,0.9784,0.985,0.985,0.9776,0.9817,0.9798,0.9838,0.9809,0.9777
msr_proj_0.oracleGeneral.zst,858,0.6104,0.511,0.6074,0.658,0.7101,0.7273,0.6937,0.6702,0.7548,0.7108,0.787,0.6706,0.602,0.7166,0.6982,0.6054,0.6061,0.6784,0.6241,0.6304,0.6086
msr_web_2.oracleGeneral.zst,3963,0.9961,0.9903,0.9961,0.9961,0.9962,0.9963,0.9961,0.9961,0.9962,0.9961,0.9961,0.9962,0.9925,0.9962,0.9962,0.9961,0.9961,0.9961,0.9961,0.9931,0.9929
msr_prn_0.oracleGeneral.zst,2134,0.3453,0.3002,0.3448,0.3452,0.3496,0.3597,0.3549,0.343,0.3638,0.3527,0.6313,0.3443,0.36,0.3486,0.3483,0.3449,0.3449,0.3526,0.3335,0.3494,0.342
msr_prxy_1.oracleGeneral.zst,1170,0.649,0.5654,0.6462,0.6723,0.6926,0.6988,0.6759,0.6875,0.6931,0.6894,0.6676,0.6103,0.6874,0.6983,0.6792,0.6354,0.6187,0.6532,0.6131,0.6152,0.6239
msr_prxy_0.oracleGeneral.zst,467,0.8581,0.5916,0.8583,0.7941,0.8984,0.9111,0.8521,0.8602,0.8864,0.8951,0.9113,0.8063,0.8598,0.9031,0.9023,0.8589,0.8641,0.8755,0.8685,0.6935,0.8306
msr_usr_1.oracleGeneral.zst,41898,0.5101,0.4755,0.5101,0.5114,0.5159,0.5483,0.539,0.5126,0.6017,0.5251,0.9209,0.5152,0.519,0.5209,0.5111,0.5117,0.5123,0.7148,0.5158,0.5398,0.6005
msr_usr_2.oracleGeneral.zst,22124,0.8357,0.8027,0.8361,0.8366,0.8457,0.8519,0.8501,0.8412,0.853,0.8441,0.8459,0.8437,0.8427,0.8473,0.8452,0.8351,0.835,0.8394,0.8367,0.8469,0.8357
