#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
2016_LUN3.oracleGeneral.zst,31677761,0.1946,0.13,0.2009,0.1878,0.1969,0.2458,0.204,0.1935,0.1981,0.1942,0.2028,0.2074,0.1799,0.2022,0.1974,0.1887,0.1868,0.1949,0.1994,0.1935,0.1869
2016_LUN6.oracleGeneral.zst,28957427,0.1418,0.1105,0.1458,0.1471,0.1476,0.1813,0.1619,0.146,0.1533,0.1496,0.239,0.1752,0.1541,0.15,0.1473,0.1447,0.1438,0.1481,0.1602,0.1672,0.1448
2016_LUN2.oracleGeneral.zst,28567365,0.13,0.1032,0.1384,0.1358,0.1381,0.174,0.1538,0.1393,0.146,0.1432,0.1862,0.1587,0.1393,0.1401,0.1379,0.1388,0.1396,0.1447,0.1518,0.1511,0.1393
2016_LUN1.oracleGeneral.zst,24096762,0.1693,0.1224,0.1756,0.18,0.1789,0.2263,0.1868,0.1756,0.1838,0.1786,0.1906,0.1892,0.166,0.1841,0.1806,0.1708,0.1705,0.1771,0.1813,0.1878,0.1709
2016_LUN4.oracleGeneral.zst,24471613,0.1505,0.1154,0.1607,0.1632,0.1619,0.2091,0.1723,0.16,0.1672,0.1641,0.2115,0.1725,0.1571,0.1651,0.1602,0.1578,0.1566,0.1618,0.169,0.1721,0.1587
2016_LUN0.oracleGeneral.zst,25819599,0.162,0.1169,0.1651,0.1649,0.1656,0.2048,0.178,0.1632,0.1713,0.168,0.1946,0.1863,0.1632,0.1687,0.1651,0.1598,0.1609,0.1659,0.1727,0.1794,0.1606
