#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
2016_LUN3.oracleGeneral.zst,15838880,0.2437,0.1741,0.2447,0.2463,0.2584,0.3376,0.2992,0.2453,0.2762,0.2937,0.3536,0.2801,0.2491,0.2633,0.2535,0.235,0.2398,0.2555,0.2492,0.2672,0.2383
2016_LUN6.oracleGeneral.zst,14478713,0.2113,0.1367,0.2106,0.2069,0.2147,0.2899,0.2564,0.2136,0.2453,0.2593,0.4376,0.2608,0.213,0.2172,0.208,0.2016,0.2035,0.2817,0.2087,0.2327,0.2039
2016_LUN2.oracleGeneral.zst,14283682,0.2074,0.1329,0.2111,0.2066,0.2215,0.2946,0.2593,0.2429,0.244,0.2713,0.3802,0.2471,0.2024,0.2211,0.2174,0.2042,0.2042,0.2826,0.2073,0.2295,0.2063
2016_LUN1.oracleGeneral.zst,12048381,0.2296,0.1616,0.2303,0.2326,0.2421,0.3179,0.2878,0.234,0.2652,0.2864,0.3424,0.2789,0.2326,0.2418,0.2389,0.2233,0.2264,0.2536,0.2337,0.2526,0.2256
2016_LUN4.oracleGeneral.zst,12235806,0.2291,0.1505,0.2274,0.226,0.2389,0.3128,0.2826,0.2417,0.2613,0.2863,0.4144,0.2567,0.2276,0.2371,0.2304,0.2198,0.2232,0.3061,0.227,0.2484,0.2214
2016_LUN0.oracleGeneral.zst,12909799,0.2241,0.1512,0.2235,0.2221,0.2279,0.2995,0.274,0.221,0.2524,0.2709,0.342,0.2757,0.2283,0.2322,0.2286,0.2161,0.2206,0.2422,0.2253,0.2435,0.2218
