#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
msr_hm_0.oracleGeneral.zst,2147483648,0.2527,0.1681,0.2512,0.2553,0.2498,0.2696,0.2745,0.2554,0.2931,0.2533,0.2528,0.3044,0.2623,0.2484,0.2484,0.2457,0.2435,0.2528,0.2595,0.2603,0.2395
msr_src1_1.oracleGeneral.zst,78383153152,0.5518,0.4476,0.5518,0.556,0.759,0.7596,0.6466,0.7208,0.6124,0.7418,0.554,0.6402,0.5466,0.7595,0.58,0.5492,0.7206,0.554,0.7565,0.5434,0.6966
msr_proj_2.oracleGeneral.zst,289910292480,0.6984,0.5614,0.6979,0.7213,0.6982,0.7481,0.741,0.6955,0.7243,0.7054,0.6974,0.7582,0.6952,0.6981,0.698,0.7556,0.7612,0.6974,0.7535,0.7455,0.6934
msr_src1_0.oracleGeneral.zst,65498251264,0.8618,0.4968,0.8485,0.7692,0.8722,0.8433,0.7204,0.8855,0.7183,0.8546,0.785,0.6185,0.8105,0.8748,0.8728,0.8264,0.8304,0.785,0.7286,0.5435,0.8457
msr_proj_1.oracleGeneral.zst,301721452544,0.9075,0.9033,0.9075,0.909,0.9076,0.9122,0.9105,0.9059,0.9065,0.9071,0.9075,0.9087,0.9089,0.9087,0.9084,0.9075,0.9088,0.9075,0.9113,0.9183,0.9078
msr_prn_1.oracleGeneral.zst,36507222016,0.4118,0.4015,0.4118,0.413,0.4467,0.4474,0.4489,0.4129,0.4522,0.4407,0.4129,0.4254,0.4085,0.4468,0.4267,0.4118,0.4177,0.4129,0.4466,0.4099,0.4095
msr_proj_4.oracleGeneral.zst,52613349376,0.8408,0.8388,0.8408,0.8403,0.8452,0.8632,0.8633,0.8433,0.8658,0.8465,0.8408,0.8465,0.8392,0.8471,0.8418,0.8408,0.8471,0.8408,0.8595,0.8393,0.8411
msr_proj_0.oracleGeneral.zst,4294967296,0.1115,0.0795,0.1123,0.1128,0.1169,0.1273,0.1378,0.111,0.1471,0.1182,0.1459,0.1291,0.1196,0.1131,0.1138,0.1074,0.1093,0.1204,0.1227,0.1272,0.11
msr_web_2.oracleGeneral.zst,27917287424,0.9588,0.4939,0.9588,0.6312,0.9592,0.9593,0.7172,0.957,0.737,0.9079,0.959,0.6762,0.5795,0.9592,0.9592,0.7466,0.7254,0.959,0.7679,0.5388,0.6171
msr_prn_0.oracleGeneral.zst,8589934592,0.3534,0.3447,0.3534,0.3607,0.3604,0.3918,0.3996,0.354,0.3905,0.387,0.3536,0.3741,0.3597,0.3644,0.3605,0.3533,0.3556,0.3536,0.3861,0.3609,0.3546
msr_prxy_1.oracleGeneral.zst,6442450944,0.0069,0.0067,0.0069,0.0069,0.0069,0.007,0.007,0.0068,0.0069,0.0069,0.0069,0.0068,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.007,0.0068
msr_prxy_0.oracleGeneral.zst,872415232,0.0767,0.0539,0.0768,0.0738,0.0717,0.0858,0.0874,0.0754,0.0846,0.0744,0.0933,0.0776,0.0783,0.0697,0.0714,0.0737,0.0749,0.0747,0.0753,0.078,0.0756
msr_usr_1.oracleGeneral.zst,292057776128,0.4751,0.4552,0.4752,0.4761,0.4755,0.4899,0.4796,0.4741,0.4835,0.4814,0.4752,0.4885,0.4775,0.487,0.481,0.4749,0.4785,0.4752,0.4833,0.4773,0.4745
msr_usr_2.oracleGeneral.zst,167503724544,0.8887,0.8831,0.8887,0.8918,0.8886,0.9023,0.9002,0.8883,0.8995,0.8951,0.8887,0.9036,0.8992,0.8992,0.8991,0.8884,0.8972,0.8887,0.8997,0.9182,0.893
